"Date","Province","HA","HSDA","Cases_Reported","Cases_Reported_Smoothed"
2020-01-29,"BC","All","All",0,0
2020-01-29,"BC","Fraser","All",0,0
2020-01-29,"BC","Fraser","Fraser East",0,0
2020-01-29,"BC","Fraser","Fraser North",0,0
2020-01-29,"BC","Fraser","Fraser South",0,0
2020-01-29,"BC","Fraser","Unknown",0,0
2020-01-29,"BC","Interior","All",0,0
2020-01-29,"BC","Interior","East Kootenay",0,0
2020-01-29,"BC","Interior","Kootenay Boundary",0,0
2020-01-29,"BC","Interior","Okanagan",0,0
2020-01-29,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-01-29,"BC","Northern","All",0,0
2020-01-29,"BC","Northern","Northeast",0,0
2020-01-29,"BC","Northern","Northern Interior",0,0
2020-01-29,"BC","Northern","Northwest",0,0
2020-01-29,"BC","Northern","Unknown",0,0
2020-01-29,"BC","Vancouver Coastal","All",0,0
2020-01-29,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0
2020-01-29,"BC","Vancouver Coastal","Richmond",0,0
2020-01-29,"BC","Vancouver Coastal","Unknown",0,0
2020-01-29,"BC","Vancouver Coastal","Vancouver",0,0
2020-01-29,"BC","Vancouver Island","All",0,0
2020-01-29,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-01-29,"BC","Vancouver Island","North Vancouver Island",0,0
2020-01-29,"BC","Vancouver Island","South Vancouver Island",0,0
2020-01-29,"Out of Canada","Out of Canada","Out of Canada",1,0
2020-01-30,"BC","All","All",0,0
2020-01-30,"BC","Fraser","All",0,0
2020-01-30,"BC","Fraser","Fraser East",0,0
2020-01-30,"BC","Fraser","Fraser North",0,0
2020-01-30,"BC","Fraser","Fraser South",0,0
2020-01-30,"BC","Fraser","Unknown",0,0
2020-01-30,"BC","Interior","All",0,0
2020-01-30,"BC","Interior","East Kootenay",0,0
2020-01-30,"BC","Interior","Kootenay Boundary",0,0
2020-01-30,"BC","Interior","Okanagan",0,0
2020-01-30,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-01-30,"BC","Northern","All",0,0
2020-01-30,"BC","Northern","Northeast",0,0
2020-01-30,"BC","Northern","Northern Interior",0,0
2020-01-30,"BC","Northern","Northwest",0,0
2020-01-30,"BC","Northern","Unknown",0,0
2020-01-30,"BC","Vancouver Coastal","All",0,0
2020-01-30,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0
2020-01-30,"BC","Vancouver Coastal","Richmond",0,0
2020-01-30,"BC","Vancouver Coastal","Unknown",0,0
2020-01-30,"BC","Vancouver Coastal","Vancouver",0,0
2020-01-30,"BC","Vancouver Island","All",0,0
2020-01-30,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-01-30,"BC","Vancouver Island","North Vancouver Island",0,0
2020-01-30,"BC","Vancouver Island","South Vancouver Island",0,0
2020-01-30,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-01-31,"BC","All","All",0,0
2020-01-31,"BC","Fraser","All",0,0
2020-01-31,"BC","Fraser","Fraser East",0,0
2020-01-31,"BC","Fraser","Fraser North",0,0
2020-01-31,"BC","Fraser","Fraser South",0,0
2020-01-31,"BC","Fraser","Unknown",0,0
2020-01-31,"BC","Interior","All",0,0
2020-01-31,"BC","Interior","East Kootenay",0,0
2020-01-31,"BC","Interior","Kootenay Boundary",0,0
2020-01-31,"BC","Interior","Okanagan",0,0
2020-01-31,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-01-31,"BC","Northern","All",0,0
2020-01-31,"BC","Northern","Northeast",0,0
2020-01-31,"BC","Northern","Northern Interior",0,0
2020-01-31,"BC","Northern","Northwest",0,0
2020-01-31,"BC","Northern","Unknown",0,0
2020-01-31,"BC","Vancouver Coastal","All",0,0
2020-01-31,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0
2020-01-31,"BC","Vancouver Coastal","Richmond",0,0
2020-01-31,"BC","Vancouver Coastal","Unknown",0,0
2020-01-31,"BC","Vancouver Coastal","Vancouver",0,0
2020-01-31,"BC","Vancouver Island","All",0,0
2020-01-31,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-01-31,"BC","Vancouver Island","North Vancouver Island",0,0
2020-01-31,"BC","Vancouver Island","South Vancouver Island",0,0
2020-01-31,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-02-01,"BC","All","All",0,0
2020-02-01,"BC","Fraser","All",0,0
2020-02-01,"BC","Fraser","Fraser East",0,0
2020-02-01,"BC","Fraser","Fraser North",0,0
2020-02-01,"BC","Fraser","Fraser South",0,0
2020-02-01,"BC","Fraser","Unknown",0,0
2020-02-01,"BC","Interior","All",0,0
2020-02-01,"BC","Interior","East Kootenay",0,0
2020-02-01,"BC","Interior","Kootenay Boundary",0,0
2020-02-01,"BC","Interior","Okanagan",0,0
2020-02-01,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-02-01,"BC","Northern","All",0,0
2020-02-01,"BC","Northern","Northeast",0,0
2020-02-01,"BC","Northern","Northern Interior",0,0
2020-02-01,"BC","Northern","Northwest",0,0
2020-02-01,"BC","Northern","Unknown",0,0
2020-02-01,"BC","Vancouver Coastal","All",0,0
2020-02-01,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0
2020-02-01,"BC","Vancouver Coastal","Richmond",0,0
2020-02-01,"BC","Vancouver Coastal","Unknown",0,0
2020-02-01,"BC","Vancouver Coastal","Vancouver",0,0
2020-02-01,"BC","Vancouver Island","All",0,0
2020-02-01,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-02-01,"BC","Vancouver Island","North Vancouver Island",0,0
2020-02-01,"BC","Vancouver Island","South Vancouver Island",0,0
2020-02-01,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-02-02,"BC","All","All",0,0
2020-02-02,"BC","Fraser","All",0,0
2020-02-02,"BC","Fraser","Fraser East",0,0
2020-02-02,"BC","Fraser","Fraser North",0,0
2020-02-02,"BC","Fraser","Fraser South",0,0
2020-02-02,"BC","Fraser","Unknown",0,0
2020-02-02,"BC","Interior","All",0,0
2020-02-02,"BC","Interior","East Kootenay",0,0
2020-02-02,"BC","Interior","Kootenay Boundary",0,0
2020-02-02,"BC","Interior","Okanagan",0,0
2020-02-02,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-02-02,"BC","Northern","All",0,0
2020-02-02,"BC","Northern","Northeast",0,0
2020-02-02,"BC","Northern","Northern Interior",0,0
2020-02-02,"BC","Northern","Northwest",0,0
2020-02-02,"BC","Northern","Unknown",0,0
2020-02-02,"BC","Vancouver Coastal","All",0,0
2020-02-02,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0
2020-02-02,"BC","Vancouver Coastal","Richmond",0,0
2020-02-02,"BC","Vancouver Coastal","Unknown",0,0
2020-02-02,"BC","Vancouver Coastal","Vancouver",0,0
2020-02-02,"BC","Vancouver Island","All",0,0
2020-02-02,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-02-02,"BC","Vancouver Island","North Vancouver Island",0,0
2020-02-02,"BC","Vancouver Island","South Vancouver Island",0,0
2020-02-02,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-02-03,"BC","All","All",0,0
2020-02-03,"BC","Fraser","All",0,0
2020-02-03,"BC","Fraser","Fraser East",0,0
2020-02-03,"BC","Fraser","Fraser North",0,0
2020-02-03,"BC","Fraser","Fraser South",0,0
2020-02-03,"BC","Fraser","Unknown",0,0
2020-02-03,"BC","Interior","All",0,0
2020-02-03,"BC","Interior","East Kootenay",0,0
2020-02-03,"BC","Interior","Kootenay Boundary",0,0
2020-02-03,"BC","Interior","Okanagan",0,0
2020-02-03,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-02-03,"BC","Northern","All",0,0
2020-02-03,"BC","Northern","Northeast",0,0
2020-02-03,"BC","Northern","Northern Interior",0,0
2020-02-03,"BC","Northern","Northwest",0,0
2020-02-03,"BC","Northern","Unknown",0,0
2020-02-03,"BC","Vancouver Coastal","All",0,0
2020-02-03,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0
2020-02-03,"BC","Vancouver Coastal","Richmond",0,0
2020-02-03,"BC","Vancouver Coastal","Unknown",0,0
2020-02-03,"BC","Vancouver Coastal","Vancouver",0,0
2020-02-03,"BC","Vancouver Island","All",0,0
2020-02-03,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-02-03,"BC","Vancouver Island","North Vancouver Island",0,0
2020-02-03,"BC","Vancouver Island","South Vancouver Island",0,0
2020-02-03,"Out of Canada","Out of Canada","Out of Canada",0,0
2020-02-04,"BC","All","All",0,0
2020-02-04,"BC","Fraser","All",0,0
2020-02-04,"BC","Fraser","Fraser East",0,0
2020-02-04,"BC","Fraser","Fraser North",0,0
2020-02-04,"BC","Fraser","Fraser South",0,0
2020-02-04,"BC","Fraser","Unknown",0,0
2020-02-04,"BC","Interior","All",0,0
2020-02-04,"BC","Interior","East Kootenay",0,0
2020-02-04,"BC","Interior","Kootenay Boundary",0,0
2020-02-04,"BC","Interior","Okanagan",0,0
2020-02-04,"BC","Interior","Thompson Cariboo Shuswap",0,0
